contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2401,2023-10-31,19160,19090,19270,19270,19075,19165,19160,75,70,67835,649915.25,115696,
al2407,2023-10-31,19060,19035,19135,19155,19000,19045,19070,10,35,27,257.4775,697,
al2401,2023-11-01,19165,19160,19165,19200,19075,19175,19130,15,-30,48965,468406.505,120439,
al2407,2023-11-01,19045,19070,18990,19070,18970,19060,19010,-10,-60,242,2300.7925,771,
al2401,2023-11-02,19175,19130,19200,19225,19120,19145,19170,15,40,57618,552308.49,124437,
al2407,2023-11-02,19060,19010,19050,19050,18980,18980,19000,-30,-10,76,722.1125,783,
al2401,2023-11-03,19145,19170,19135,19180,19065,19145,19125,-25,-45,44117,421880.65,127173,
al2407,2023-11-03,18980,19000,18965,18985,18935,18955,18965,-45,-35,58,550.0825,815,
al2407,2023-11-06,18955,18965,18970,18980,18900,18965,18945,0,-20,308,2917.585,1022,
al2401,2023-11-06,19145,19125,19145,19200,19020,19195,19115,70,-10,72555,693524.955,126993,
al2407,2023-11-07,18965,18945,19050,19060,19015,19015,19035,70,90,5,47.5975,1022,
al2401,2023-11-07,19195,19115,19250,19330,19120,19130,19225,15,110,72475,696718.2225,129148,
al2401,2023-11-08,19130,19225,19145,19275,19080,19235,19195,10,-30,60174,577523.675,135611,
al2407,2023-11-08,19015,19035,19050,19085,19035,19085,19070,50,35,19,181.175,1023,
al2401,2023-11-09,19235,19195,19200,19245,19085,19105,19155,-90,-40,69037,661280.385,133935,
al2407,2023-11-09,19085,19070,19085,19105,19000,19010,19050,-60,-20,160,1524.3375,1097,
al2401,2023-11-10,19105,19155,19080,19165,19055,19070,19110,-85,-45,62593,598106.5675,136369,
al2407,2023-11-10,19010,19050,18970,19055,18970,19025,19015,-25,-35,28,266.23,1105,
al2401,2023-11-13,19070,19110,19025,19030,18805,18835,18890,-275,-220,116524,1100664.2525,132771,
al2407,2023-11-13,19025,19015,18920,18920,18785,18820,18820,-195,-195,124,1167.0475,1149,
al2407,2023-11-14,18820,18820,18830,18905,18805,18870,18870,50,50,248,2340.32,1258,
al2401,2023-11-14,18835,18890,18870,18975,18855,18930,18910,40,20,62653,592406.005,130985,
al2401,2023-11-15,18930,18910,18925,19085,18905,18960,18980,50,70,89601,850425.7225,131432,
al2407,2023-11-15,18870,18870,18885,18965,18865,18900,18890,30,20,31,292.8075,1253,
al2401,2023-11-16,18960,18980,18960,18980,18890,18935,18930,-45,-50,68559,649012.9075,136174,
al2407,2023-11-16,18900,18890,18875,18875,18855,18875,18870,-15,-20,8,75.485,1254,
al2401,2023-11-17,18935,18930,18920,18945,18745,18820,18835,-110,-95,112388,1058637.5275,145334,
al2407,2023-11-17,18875,18870,18865,18865,18735,18760,18760,-110,-110,211,1979.64,1397,
al2401,2023-11-20,18820,18835,18800,19000,18765,18920,18895,85,60,127709,1206756.5925,151621,
al2407,2023-11-20,18760,18760,18730,18895,18715,18840,18810,80,50,354,3329.545,1588,
al2401,2023-11-21,18920,18895,18905,19000,18865,18875,18930,-20,35,146410,1385915.2075,160985,
al2407,2023-11-21,18840,18810,18840,18875,18780,18785,18845,-25,35,277,2610.1,1726,
al2407,2023-11-22,18785,18845,18760,18830,18675,18700,18720,-145,-125,385,3604.145,1857,
al2401,2023-11-22,18875,18930,18880,18940,18705,18765,18815,-165,-115,175389,1650391.9475,170011,
al2401,2023-11-23,18765,18815,18785,18810,18675,18725,18740,-90,-75,153066,1434382.8525,173546,
al2407,2023-11-23,18700,18720,18745,18745,18640,18685,18675,-35,-45,347,3240.6325,2060,
al2401,2023-11-24,18725,18740,18725,18820,18675,18775,18760,35,20,121762,1142281.81,168976,
